                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0593,                 2.9388,                 1.3842,                0.64999,                0.52552,                0.53939,                0.23183,                 1.4341,                 6.5149,                0.91634,               0.003331,               0.003331,               0.003331
                      2,                 1.9885,                 1.5473,                 1.3544,                0.60883,                0.50557,                0.50528,                0.21011,                 1.4009,                 4.1546,                0.94107,              0.0065983,              0.0065983,              0.0065983
                      3,                  2.075,                 1.7352,                 1.4478,                0.61012,                0.38362,                0.39222,                0.16031,                 1.4459,                 4.8078,                 1.0041,              0.0097997,              0.0097997,              0.0097997
                      4,                 2.1389,                 1.8308,                 1.5302,                0.57591,                0.45788,                0.44551,                 0.1614,                 1.6246,                 2.5873,                 1.0978,               0.009703,               0.009703,               0.009703
                      5,                 2.0528,                 1.6053,                 1.5146,                 0.6832,                0.49082,                 0.5073,                 0.2058,                 1.5438,                 1.9373,                 1.0744,               0.009604,               0.009604,               0.009604
                      6,                 1.9798,                 1.4614,                 1.4764,                0.65423,                0.52135,                0.53741,                0.20193,                 1.5675,                 2.4886,                 1.0884,               0.009505,               0.009505,               0.009505
                      7,                 1.9774,                 1.4585,                 1.4525,                0.66247,                0.60168,                0.59233,                0.24517,                 1.4307,                 2.6309,                 1.0208,               0.009406,               0.009406,               0.009406
                      8,                 1.9385,                 1.3433,                 1.4353,                0.69431,                0.48995,                0.53864,                0.22316,                 1.4973,                 1.9687,                0.99926,               0.009307,               0.009307,               0.009307
                      9,                 1.9088,                 1.3163,                 1.4291,                0.68723,                0.58878,                0.59915,                0.25237,                 1.5106,                 2.2298,                 1.0307,               0.009208,               0.009208,               0.009208
                     10,                 1.9038,                 1.2825,                 1.4182,                0.74136,                0.60718,                 0.6252,                0.26334,                 1.4613,                 2.0412,                 1.0104,               0.009109,               0.009109,               0.009109
                     11,                 1.8775,                  1.248,                 1.4175,                0.61874,                0.56864,                0.55455,                0.24114,                 1.5347,                 2.6809,                 1.0429,                0.00901,                0.00901,                0.00901
                     12,                 1.8579,                 1.2235,                 1.3999,                0.73481,                0.57503,                0.60565,                 0.2532,                  1.473,                 1.5816,                  1.016,               0.008911,               0.008911,               0.008911
                     13,                 1.8434,                  1.169,                 1.3874,                0.71513,                0.53433,                0.57075,                0.25027,                  1.498,                 1.8478,                 1.0234,               0.008812,               0.008812,               0.008812
                     14,                 1.8253,                 1.1647,                 1.3802,                0.71769,                0.57528,                 0.6107,                 0.2571,                 1.4435,                 2.2162,                 0.9988,               0.008713,               0.008713,               0.008713
                     15,                 1.8092,                 1.1423,                 1.3767,                0.73343,                0.56792,                 0.6009,                 0.2537,                 1.5007,                 1.8901,                 1.0183,               0.008614,               0.008614,               0.008614
                     16,                 1.8313,                 1.1728,                 1.3767,                0.75268,                0.60131,                0.64065,                0.27151,                 1.4413,                 1.5246,                0.99851,               0.008515,               0.008515,               0.008515
                     17,                 1.8356,                  1.168,                 1.3899,                0.72294,                0.60387,                0.62335,                0.26599,                 1.4865,                 1.6506,                 1.0271,               0.008416,               0.008416,               0.008416
                     18,                 1.7969,                 1.1355,                 1.3598,                0.75345,                0.61244,                0.63981,                0.27541,                 1.4646,                 1.6201,                 1.0081,               0.008317,               0.008317,               0.008317
